Event_ID,Timestamp,Vehicle_Type,Speed_kmh,Latitude,Longitude,Event_Type,Severity,Traffic_Density
1,2024-06-22 00:35:01,Car,116,51.122808,71.511946,Normal,Low,74.4
2,2024-06-22 00:40:31,Truck,37,51.161741,71.485211,Normal,Low,77.13
3,2024-06-22 00:54:39,Bicycle,62,51.135479,71.467854,Normal,Low,79.19
4,2024-06-22 01:03:20,Bicycle,74,51.144303,71.383216,Normal,Low,76.53
5,2024-06-22 02:17:19,Truck,41,51.193332,71.401543,Normal,Low,85.74
6,2024-06-22 02:26:31,Car,88,51.150693,71.532198,Normal,Low,87.19
7,2024-06-22 02:29:28,Car,113,51.145764,71.477012,Sudden De-celeration,High,111.31
8,2024-06-22 02:48:01,Bus,88,51.092912,71.413405,Accident,High,103.42
9,2024-06-22 02:53:51,Truck,12,51.126861,71.463967,Normal,Low,84.12
10,2024-06-22 03:14:06,Car,99,51.105896,71.423858,Normal,Low,84.57
11,2024-06-22 03:56:48,Bus,25,51.135587,71.565126,Congestion,High,139.89
12,2024-06-22 04:16:03,Bicycle,70,51.138815,71.384111,Accident,High,119.07
13,2024-06-22 04:48:38,Bus,69,51.136032,71.550839,Normal,Low,66.93
14,2024-06-22 05:15:11,Motorcycle,48,51.162148,71.441338,Normal,Low,64.25
15,2024-06-22 05:47:12,Bicycle,43,51.191112,71.440675,Normal,Low,62.35
16,2024-06-22 05:47:14,Truck,0,51.153976,71.3461,Normal,Low,66.07
17,2024-06-22 06:28:26,Car,102,51.170194,71.420198,Normal,Low,65.34
18,2024-06-22 07:26:43,Bicycle,103,51.142078,71.450219,Normal,Low,60.82
19,2024-06-22 08:01:11,Car,94,51.18771,71.403456,Normal,Low,60.91
20,2024-06-22 08:04:41,Bicycle,107,51.165286,71.431691,Normal,Low,63.23
21,2024-06-22 08:06:47,Truck,20,51.161675,71.466692,Normal,Low,61.37
22,2024-06-22 08:10:12,Bus,74,51.1644,71.537445,Normal,Low,60.77
23,2024-06-22 08:11:08,Truck,115,51.179038,71.417943,Normal,Low,58.64
24,2024-06-22 08:12:51,Bus,9,51.126433,71.369316,Normal,Low,53.57
25,2024-06-22 08:20:07,Motorcycle,16,51.149177,71.364326,Normal,Low,55.32
26,2024-06-22 08:26:53,Truck,17,51.121091,71.474204,Normal,Low,58.82
27,2024-06-22 08:28:19,Bicycle,20,51.126315,71.479503,Normal,Low,59.77
28,2024-06-22 08:53:52,Bus,115,51.116443,71.428059,Accident,High,86.17
29,2024-06-22 08:57:19,Car,50,51.152582,71.538803,Normal,Low,56.29
30,2024-06-22 09:08:39,Truck,50,51.213867,71.382402,Normal,Low,57.67
31,2024-06-22 09:16:28,Bus,53,51.186241,71.447592,Normal,Low,65.56
32,2024-06-22 09:26:03,Bus,61,51.094513,71.483658,Normal,Low,61.97
33,2024-06-22 09:38:48,Truck,87,51.126681,71.525969,Normal,Low,59.39
34,2024-06-22 09:41:33,Bus,114,51.197064,71.50918,Normal,Low,58.84
35,2024-06-22 09:58:24,Bus,19,51.119932,71.468304,Normal,Low,63.58
36,2024-06-22 11:12:32,Car,117,51.138697,71.523094,Normal,Low,68.87
37,2024-06-22 11:45:50,Bicycle,27,51.180266,71.385542,Normal,Low,71.52
38,2024-06-22 12:29:32,Bicycle,81,51.131077,71.448497,Normal,Low,69.66
39,2024-06-22 12:46:05,Bus,86,51.143537,71.527753,Normal,Low,66.77
40,2024-06-22 13:03:22,Car,26,51.161107,71.468169,Normal,Low,58.84
41,2024-06-22 13:23:11,Car,29,51.119982,71.48516,Normal,Low,63.76
42,2024-06-22 13:36:42,Truck,84,51.180621,71.433868,Normal,Low,60.83
43,2024-06-22 13:54:53,Truck,31,51.176552,71.410863,Normal,Low,55.18
44,2024-06-22 14:07:22,Truck,116,51.130974,71.448189,Normal,Low,52.49
45,2024-06-22 14:21:58,Motorcycle,29,51.093487,71.440739,Normal,Low,53.04
46,2024-06-22 15:47:45,Truck,11,51.181311,71.417105,Normal,Low,26.06
47,2024-06-22 16:16:12,Motorcycle,61,51.108422,71.462067,Normal,Low,24.33
48,2024-06-22 17:03:26,Bicycle,15,51.119536,71.49231,Normal,Low,13.06
49,2024-06-22 17:05:14,Car,77,51.151638,71.443387,Normal,Low,12.71
50,2024-06-22 17:10:58,Bicycle,64,51.107768,71.447317,Normal,Low,7.89
51,2024-06-22 17:22:19,Truck,90,51.14752,71.389756,Normal,Low,11.36
52,2024-06-22 17:32:40,Bus,26,51.14442,71.444971,Normal,Low,3.09
53,2024-06-22 17:33:26,Bicycle,112,51.164685,71.421029,Normal,Low,3.41
54,2024-06-22 17:36:36,Bicycle,32,51.18937,71.388463,Normal,Low,8.47
55,2024-06-22 17:41:57,Bicycle,8,51.173738,71.364073,Sudden De-celeration,Low,18.33
56,2024-06-22 17:51:55,Bus,8,51.113169,71.500136,Normal,Low,9.42
57,2024-06-22 18:01:33,Truck,45,51.199653,71.366288,Normal,Low,8.48
58,2024-06-22 18:14:45,Car,54,51.154816,71.485446,Normal,Low,5.09
59,2024-06-22 18:28:55,Bus,30,51.169969,71.435211,Congestion,High,103.68
60,2024-06-22 18:40:23,Truck,0,51.121983,71.412369,Normal,Low,7.87
61,2024-06-22 19:12:48,Motorcycle,90,51.102728,71.453557,Normal,Low,3.11
62,2024-06-22 19:48:26,Motorcycle,3,51.150052,71.425823,Normal,Low,4.78
63,2024-06-22 20:13:46,Truck,18,51.102065,71.429532,Normal,Low,9.64
64,2024-06-22 20:17:47,Bus,64,51.114675,71.49037,Normal,Low,7.99
65,2024-06-22 20:27:58,Bicycle,104,51.170974,71.480811,Normal,Low,9.84
66,2024-06-22 21:25:49,Car,76,51.181522,71.373515,Normal,Low,22.3
67,2024-06-22 22:20:28,Truck,80,51.149664,71.421423,Normal,Low,39.49
68,2024-06-22 22:30:19,Bus,100,51.147511,71.558726,Normal,Low,38.9
69,2024-06-22 22:57:52,Bicycle,101,51.164468,71.439614,Congestion,High,125.38
70,2024-06-22 23:00:15,Car,104,51.185793,71.353194,Normal,Low,47.09
71,2024-06-22 23:17:11,Car,103,51.140134,71.387141,Normal,Low,51.21
72,2024-06-22 23:19:37,Bus,63,51.131808,71.441025,Normal,Low,57.54
73,2024-06-22 23:38:36,Bus,68,51.181446,71.373818,Normal,Low,58.08
74,2024-06-22 23:46:30,Bicycle,48,51.162986,71.460822,Normal,Low,68.05
75,2024-06-22 23:54:44,Car,113,51.146538,71.377901,Normal,Low,62.42
76,2024-06-23 00:07:22,Bus,32,51.166015,71.440201,Normal,Low,69.28
77,2024-06-23 00:30:08,Truck,72,51.095841,71.425172,Normal,Low,76.83
78,2024-06-23 01:21:39,Motorcycle,68,51.158847,71.474471,Normal,Low,80.89
79,2024-06-23 02:03:49,Motorcycle,19,51.18685,71.34383,Normal,Low,84.13
80,2024-06-23 02:04:51,Bus,51,51.121047,71.408953,Normal,Low,78.47
81,2024-06-23 02:06:32,Bus,31,51.130727,71.449744,Normal,Low,86.5
82,2024-06-23 02:26:20,Motorcycle,115,51.172439,71.434672,Normal,Low,85.47
