Event_ID, Timestamp          , Vehicle_Type, Speed_kmh, Latitude , Longitude, Event_Type         , Severity
       1, 2024-02-01 08:00:00, Bus         ,        61, 51.130119, 71.43348 , Normal             , Low
       2, 2024-02-01 08:00:00, Truck       ,        74, 51.130046, 71.434301, Normal             , Low
       3, 2024-02-01 08:00:00, Truck       ,        84, 51.129601, 71.432699, Normal             , Low
       4, 2024-02-01 08:00:00, Car         ,        71, 51.130325, 71.43348 , Normal             , Low
       5, 2024-02-01 08:00:00, Car         ,        76, 51.131123, 71.431212, Normal             , Low
       6, 2024-02-01 08:00:00, Bus         ,        77, 51.130466, 71.432493, Normal             , Low
       7, 2024-02-01 08:00:00, Bus         ,        16, 51.131601, 71.434325, Congestion         , Medium
       8, 2024-02-01 08:00:00, Truck       ,        64, 51.129475, 71.433969, Normal             , Low
       9, 2024-02-01 08:00:00, Truck       ,        62, 51.13103 , 71.432324, Normal             , Low
      10, 2024-02-01 08:00:00, Bus         ,        54, 51.130314, 71.432655, Normal             , Low
      11, 2024-02-01 08:00:00, Truck       ,        43, 51.130193, 71.435197, Sudden Deceleration, Medium
      12, 2024-02-01 08:00:00, Car         ,        85, 51.130203, 71.434471, Normal             , Low
      13, 2024-02-01 08:00:00, Bus         ,        52, 51.130487, 71.431247, Normal             , Low
      14, 2024-02-01 08:00:00, Car         ,        58, 51.128649, 71.434944, Normal             , Low
      15, 2024-02-01 08:00:00, Bus         ,        53, 51.131466, 71.433821, Normal             , Low
      16, 2024-02-01 08:00:00, Bus         ,        68, 51.130635, 71.431784, Normal             , Low
      17, 2024-02-01 08:00:00, Truck       ,        81, 51.130815, 71.430925, Normal             , Low
      18, 2024-02-01 08:00:00, Car         ,        71, 51.128915, 71.433138, Normal             , Low
      19, 2024-02-01 08:00:00, Bus         ,        54, 51.130538, 71.433636, Normal             , Low
      20, 2024-02-01 08:00:00, Motorcycle  ,        54, 51.128992, 71.43557 , Normal             , Low
      21, 2024-02-01 08:00:00, Bus         ,        59, 51.12883 , 71.432489, Normal             , Low
      22, 2024-02-01 08:00:00, Motorcycle  ,        62, 51.128924, 71.433247, Normal             , Low
      23, 2024-02-01 08:00:00, Motorcycle  ,        84, 51.129626, 71.435488, Normal             , Low
      24, 2024-02-01 08:00:00, Car         ,        59, 51.129016, 71.434398, Normal             , Low
      25, 2024-02-01 08:00:00, Motorcycle  ,        84, 51.130187, 71.43111 , Normal             , Low
      26, 2024-02-01 08:00:00, Motorcycle  ,        53, 51.128557, 71.432089, Normal             , Low
      27, 2024-02-01 08:00:00, Motorcycle  ,        15, 51.130123, 71.433149, Congestion         , Medium
      28, 2024-02-01 08:00:00, Bus         ,        79, 51.129423, 71.430634, Normal             , Low
      29, 2024-02-01 08:00:00, Bus         ,        75, 51.129897, 71.430699, Normal             , Low
      30, 2024-02-01 08:00:00, Car         ,        73, 51.131303, 71.434369, Normal             , Low
      31, 2024-02-01 08:00:00, Motorcycle  ,        73, 51.129383, 71.43185 , Normal             , Low
      32, 2024-02-01 08:00:00, Car         ,        57, 51.129299, 71.432523, Normal             , Low
      33, 2024-02-01 08:00:00, Bus         ,        66, 51.130469, 71.431552, Normal             , Low
      34, 2024-02-01 08:00:00, Car         ,        66, 51.130779, 71.435116, Normal             , Low
      35, 2024-02-01 08:00:00, Bus         ,        84, 51.131409, 71.433768, Normal             , Low
      36, 2024-02-01 08:00:00, Bus         ,        69, 51.129412, 71.4309  , Normal             , Low
      37, 2024-02-01 08:00:00, Car         ,        67, 51.129463, 71.433149, Normal             , Low
      38, 2024-02-01 08:00:00, Motorcycle  ,        68, 51.128903, 71.433432, Normal             , Low
      39, 2024-02-01 08:00:00, Truck       ,        21, 51.131394, 71.432876, Congestion         , Medium
      40, 2024-02-01 08:00:00, Motorcycle  ,        66, 51.130093, 71.434371, Normal             , Low
      41, 2024-02-01 08:00:00, Truck       ,        65, 51.130304, 71.432046, Normal             , Low
      42, 2024-02-01 08:00:00, Bus         ,        80, 51.129897, 71.433035, Normal             , Low
      43, 2024-02-01 08:00:00, Truck       ,        71, 51.128722, 71.431394, Normal             , Low
      44, 2024-02-01 08:00:00, Motorcycle  ,        60, 51.129299, 71.432336, Normal             , Low
      45, 2024-02-01 08:00:00, Bus         ,        73, 51.129164, 71.431385, Normal             , Low
      46, 2024-02-01 08:00:00, Motorcycle  ,        64, 51.12961 , 71.431752, Normal             , Low
      47, 2024-02-01 08:00:00, Car         ,        76, 51.131487, 71.434673, Normal             , Low
      48, 2024-02-01 08:00:00, Motorcycle  ,        72, 51.130431, 71.431795, Normal             , Low
      49, 2024-02-01 08:00:00, Car         ,        57, 51.129294, 71.433501, Normal             , Low
      50, 2024-02-01 08:00:00, Motorcycle  ,        75, 51.128715, 71.432178, Normal             , Low
      51, 2024-02-01 08:00:00, Car         ,        65, 51.131594, 71.434579, Normal             , Low
      52, 2024-02-01 08:00:00, Bus         ,        84, 51.130183, 71.43465 , Normal             , Low
      53, 2024-02-01 08:00:00, Bus         ,        19, 51.130971, 71.432595, Congestion         , Medium
      54, 2024-02-01 08:00:00, Car         ,        61, 51.128892, 71.430665, Normal             , Low
      55, 2024-02-01 08:00:00, Motorcycle  ,        54, 51.129398, 71.433519, Normal             , Low
      56, 2024-02-01 08:00:00, Truck       ,        58, 51.129781, 71.434335, Normal             , Low
      57, 2024-02-01 08:00:00, Bus         ,        28, 51.129817, 71.43113 , Congestion         , Medium
      58, 2024-02-01 08:00:00, Motorcycle  ,        75, 51.131434, 71.432279, Normal             , Low
      59, 2024-02-01 08:00:00, Truck       ,        65, 51.13123 , 71.435544, Normal             , Low
      60, 2024-02-01 08:00:00, Bus         ,        61, 51.129971, 71.432367, Normal             , Low
      61, 2024-02-01 08:00:00, Truck       ,        56, 51.129539, 71.432072, Normal             , Low
      62, 2024-02-01 08:00:00, Motorcycle  ,        59, 51.130365, 71.433025, Normal             , Low
      63, 2024-02-01 08:00:00, Car         ,        66, 51.12866 , 71.432792, Normal             , Low
      64, 2024-02-01 08:00:00, Car         ,        64, 51.130746, 71.43527 , Normal             , Low
      65, 2024-02-01 08:00:00, Car         ,        83, 51.131077, 71.431773, Normal             , Low
      66, 2024-02-01 08:00:00, Truck       ,        52, 51.130274, 71.433144, Normal             , Low
      67, 2024-02-01 08:00:00, Motorcycle  ,        56, 51.129874, 71.430482, Normal             , Low
      68, 2024-02-01 08:00:00, Truck       ,        62, 51.130232, 71.432728, Normal             , Low
      69, 2024-02-01 08:00:00, Truck       ,        81, 51.131162, 71.43341 , Normal             , Low
      70, 2024-02-01 08:00:00, Car         ,        69, 51.131452, 71.434282, Normal             , Low
      71, 2024-02-01 08:00:00, Car         ,        61, 51.129646, 71.432183, Normal             , Low
      72, 2024-02-01 08:00:00, Motorcycle  ,        80, 51.13046 , 71.434215, Normal             , Low
      73, 2024-02-01 08:00:00, Motorcycle  ,        57, 51.128772, 71.432375, Normal             , Low
      74, 2024-02-01 08:00:00, Car         ,        64, 51.128693, 71.435408, Normal             , Low
      75, 2024-02-01 08:00:00, Car         ,        68, 51.130116, 71.435474, Normal             , Low
      76, 2024-02-01 08:00:00, Car         ,        77, 51.130205, 71.433584, Normal             , Low
      77, 2024-02-01 08:00:00, Bus         ,        59, 51.130087, 71.433978, Normal             , Low
      78, 2024-02-01 08:00:00, Car         ,        80, 51.12894 , 71.43081 , Normal             , Low
      79, 2024-02-01 08:00:00, Motorcycle  ,        73, 51.131353, 71.434695, Normal             , Low
      80, 2024-02-01 08:00:00, Car         ,        70, 51.13122 , 71.434502, Normal             , Low
      81, 2024-02-01 08:00:00, Bus         ,        58, 51.128881, 71.430745, Normal             , Low
      82, 2024-02-01 08:00:00, Truck       ,        55, 51.129935, 71.430759, Normal             , Low
      83, 2024-02-01 08:00:00, Bus         ,        69, 51.131199, 71.432846, Normal             , Low
      84, 2024-02-01 08:00:00, Truck       ,        83, 51.131087, 71.433649, Normal             , Low
      85, 2024-02-01 08:00:00, Truck       ,        68, 51.130832, 71.435386, Normal             , Low
      86, 2024-02-01 08:00:00, Truck       ,        73, 51.130782, 71.430871, Normal             , Low
      87, 2024-02-01 08:00:00, Bus         ,        52, 51.130695, 71.433195, Normal             , Low
      88, 2024-02-01 08:00:00, Bus         ,        80, 51.130158, 71.435224, Normal             , Low
      89, 2024-02-01 08:00:00, Bus         ,        71, 51.128571, 71.434609, Normal             , Low
      90, 2024-02-01 08:00:00, Car         ,        52, 51.129482, 71.432059, Normal             , Low
      91, 2024-02-01 08:00:00, Motorcycle  ,        40, 51.128766, 71.433361, Sudden Deceleration, Medium
      92, 2024-02-01 08:00:00, Motorcycle  ,        75, 51.129693, 71.430701, Normal             , Low
      93, 2024-02-01 08:00:00, Bus         ,        78, 51.128915, 71.434641, Normal             , Low
      94, 2024-02-01 08:00:00, Car         ,        52, 51.131335, 71.433772, Normal             , Low
      95, 2024-02-01 08:00:00, Car         ,        67, 51.131259, 71.432234, Normal             , Low
      96, 2024-02-01 08:00:00, Bus         ,        68, 51.128769, 71.43286 , Normal             , Low
      97, 2024-02-01 08:00:00, Bus         ,        79, 51.12865 , 71.434177, Normal             , Low
      98, 2024-02-01 08:00:00, Motorcycle  ,        65, 51.129736, 71.431191, Normal             , Low
      99, 2024-02-01 08:00:00, Car         ,        52, 51.131282, 71.4338  , Normal             , Low
     100, 2024-02-01 08:00:00, Motorcycle  ,        82, 51.129463, 71.435508, Normal             , Low
     101, 2024-02-01 08:00:00, Truck       ,        80, 51.130563, 71.435023, Normal             , Low
     102, 2024-02-01 08:00:00, Motorcycle  ,        77, 51.129172, 71.434893, Normal             , Low
     103, 2024-02-01 08:00:00, Motorcycle  ,        63, 51.13129 , 71.431759, Normal             , Low
     104, 2024-02-01 08:00:00, Car         ,        67, 51.128952, 71.43533 , Normal             , Low
     105, 2024-02-01 08:00:00, Car         ,        61, 51.130043, 71.434842, Normal             , Low
     106, 2024-02-01 08:00:00, Car         ,        62, 51.13011 , 71.434875, Normal             , Low
     107, 2024-02-01 08:00:00, Motorcycle  ,        56, 51.129747, 71.431564, Normal             , Low
     108, 2024-02-01 08:00:00, Car         ,        84, 51.130561, 71.431426, Normal             , Low
     109, 2024-02-01 08:00:00, Motorcycle  ,        70, 51.131457, 71.435638, Normal             , Low
     110, 2024-02-01 08:00:00, Car         ,        58, 51.128715, 71.433755, Normal             , Low
     111, 2024-02-01 08:00:00, Motorcycle  ,        52, 51.129745, 71.430682, Normal             , Low
     112, 2024-02-01 08:00:00, Car         ,        11, 51.128996, 71.433895, Congestion         , Medium
     113, 2024-02-01 08:00:00, Car         ,        59, 51.12878 , 71.431453, Normal             , Low
     114, 2024-02-01 08:00:00, Motorcycle  ,        60, 51.130736, 71.430799, Normal             , Low
     115, 2024-02-01 08:00:00, Bus         ,        67, 51.128926, 71.435119, Normal             , Low
     116, 2024-02-01 08:00:00, Bus         ,        68, 51.13103 , 71.431917, Normal             , Low
     117, 2024-02-01 08:00:00, Car         ,         1, 51.130166, 71.434891, Accident           , High
     118, 2024-02-01 08:00:00, Bus         ,        63, 51.128818, 71.431328, Normal             , Low
     119, 2024-02-01 08:00:00, Truck       ,        57, 51.12966 , 71.432237, Normal             , Low
     120, 2024-02-01 08:00:00, Truck       ,        71, 51.130994, 71.43429 , Normal             , Low
     121, 2024-02-01 08:00:00, Bus         ,        62, 51.129259, 71.432984, Normal             , Low
     122, 2024-02-01 08:00:00, Car         ,        82, 51.131496, 71.430889, Normal             , Low
     123, 2024-02-01 08:00:00, Truck       ,        54, 51.131063, 71.434109, Normal             , Low
     124, 2024-02-01 08:00:00, Motorcycle  ,        73, 51.130742, 71.431226, Normal             , Low
     125, 2024-02-01 08:00:00, Motorcycle  ,        80, 51.128739, 71.434871, Normal             , Low
     126, 2024-02-01 08:00:00, Bus         ,        80, 51.130103, 71.435166, Normal             , Low
     127, 2024-02-01 08:00:00, Car         ,        74, 51.130869, 71.431861, Normal             , Low
     128, 2024-02-01 08:00:00, Bus         ,        73, 51.130097, 71.434363, Normal             , Low
     129, 2024-02-01 08:00:00, Bus         ,        15, 51.129288, 71.435187, Congestion         , Medium
     130, 2024-02-01 08:00:00, Car         ,        75, 51.129579, 71.431147, Normal             , Low
     131, 2024-02-01 08:00:00, Motorcycle  ,        85, 51.129995, 71.432958, Normal             , Low
     132, 2024-02-01 08:00:00, Truck       ,        73, 51.131604, 71.434434, Normal             , Low
     133, 2024-02-01 08:00:00, Car         ,        82, 51.129549, 71.434226, Normal             , Low
     134, 2024-02-01 08:00:00, Truck       ,         3, 51.130409, 71.430574, Accident           , High
     135, 2024-02-01 08:00:00, Bus         ,        55, 51.130742, 71.432785, Normal             , Low
     136, 2024-02-01 08:00:00, Car         ,        83, 51.13012 , 71.434048, Normal             , Low
     137, 2024-02-01 08:00:00, Bus         ,        57, 51.130223, 71.4321  , Normal             , Low
     138, 2024-02-01 08:00:00, Truck       ,        72, 51.13135 , 71.432691, Normal             , Low
     139, 2024-02-01 08:00:00, Motorcycle  ,        76, 51.131123, 71.431104, Normal             , Low
     140, 2024-02-01 08:00:00, Car         ,        71, 51.130319, 71.430643, Normal             , Low
     141, 2024-02-01 08:00:00, Motorcycle  ,         4, 51.131649, 71.432805, Accident           , High
     142, 2024-02-01 08:00:00, Car         ,        69, 51.129695, 71.43471 , Normal             , Low
     143, 2024-02-01 08:00:00, Truck       ,        79, 51.130842, 71.431596, Normal             , Low
     144, 2024-02-01 08:00:00, Car         ,        83, 51.129537, 71.434082, Normal             , Low
     145, 2024-02-01 08:00:00, Motorcycle  ,        79, 51.131628, 71.431555, Normal             , Low
     146, 2024-02-01 08:00:00, Bus         ,        67, 51.130417, 71.430715, Normal             , Low
     147, 2024-02-01 08:00:00, Bus         ,        64, 51.131184, 71.434315, Normal             , Low
     148, 2024-02-01 08:00:00, Car         ,        84, 51.13012 , 71.43083 , Normal             , Low
     149, 2024-02-01 08:00:00, Bus         ,        84, 51.131177, 71.43118 , Normal             , Low
     150, 2024-02-01 08:00:00, Truck       ,        62, 51.130003, 71.434632, Normal             , Low
     151, 2024-02-01 08:00:00, Bus         ,        80, 51.130487, 71.430659, Normal             , Low
     152, 2024-02-01 08:00:00, Motorcycle  ,        72, 51.130615, 71.433642, Normal             , Low
     153, 2024-02-01 08:00:00, Motorcycle  ,        70, 51.129815, 71.434138, Normal             , Low
     154, 2024-02-01 08:00:00, Motorcycle  ,        56, 51.130116, 71.432806, Normal             , Low
     155, 2024-02-01 08:00:00, Bus         ,        78, 51.131115, 71.432967, Normal             , Low
     156, 2024-02-01 08:00:00, Truck       ,        72, 51.130409, 71.431708, Normal             , Low
     157, 2024-02-01 08:00:00, Motorcycle  ,        54, 51.13007 , 71.432946, Normal             , Low
     158, 2024-02-01 08:00:00, Bus         ,        41, 51.129809, 71.43519 , Sudden Deceleration, Medium
     159, 2024-02-01 08:00:00, Bus         ,        61, 51.131569, 71.431616, Normal             , Low
     160, 2024-02-01 08:00:00, Car         ,        57, 51.130608, 71.434693, Normal             , Low
     161, 2024-02-01 08:00:00, Truck       ,        68, 51.13026 , 71.435161, Normal             , Low
     162, 2024-02-01 08:00:00, Motorcycle  ,        81, 51.129431, 71.434543, Normal             , Low
     163, 2024-02-01 08:00:00, Motorcycle  ,        84, 51.129857, 71.431375, Normal             , Low
     164, 2024-02-01 08:00:00, Car         ,        66, 51.129765, 71.43208 , Normal             , Low
     165, 2024-02-01 08:00:00, Bus         ,        60, 51.129812, 71.433307, Normal             , Low
     166, 2024-02-01 08:00:00, Motorcycle  ,        68, 51.128809, 71.430541, Normal             , Low
     167, 2024-02-01 08:00:00, Bus         ,        67, 51.129513, 71.432832, Normal             , Low
     168, 2024-02-01 08:00:00, Car         ,        74, 51.130448, 71.43113 , Normal             , Low
     169, 2024-02-01 08:00:00, Car         ,        22, 51.12945 , 71.434306, Congestion         , Medium
     170, 2024-02-01 08:00:00, Truck       ,        65, 51.130122, 71.433297, Normal             , Low
     171, 2024-02-01 08:00:00, Truck       ,        41, 51.129703, 71.43051 , Sudden Deceleration, Medium
     172, 2024-02-01 08:00:00, Truck       ,        85, 51.13111 , 71.430664, Normal             , Low
     173, 2024-02-01 08:00:00, Car         ,        55, 51.131421, 71.431449, Normal             , Low
     174, 2024-02-01 08:00:00, Bus         ,        21, 51.129262, 71.433528, Congestion         , Medium
